id	nama	jabatan	tingkat	kelompok	wil	urutan	aktif
10	Boy Joean	Ketua Umum DPP Warkop Nusantara	pusat	pengurus_dpp	0	1	1
3	Sukri Tambusai, S.H.	Wakil Ketua Umum DPP Warkop Nusantara	pusat	pengurus_dpp	0	2	1
14	Andreas Reynaldho, S.H., M.H.	Sekjen DPP Warkop Nusantara	pusat	(NULL)	0	3	1
43	Soni	Bendahara DPP Warkop Nusantara	pusat	pengurus_dpp	0	4	1
1	Jonni Tan	Ketua	pusat	dewan_pembina	0	5	1
12	Johan Elvianus Hondro	Direktur Humas dan Kerjasama Antar Lembaga	pusat	direktorat	0	5	1
16	Dian Lestari Gultom, S.H.	Direktur Hukum dan Advokasi	pusat	pengurus_dpp	0	6	1
25	Kanisius	Kepala Satgas (Kasatgas)	pusat	satgas	0	6	1
2	Florida Herawati	Wakil	pusat	dewan_pembina	0	12	1
17	Sopan Pangabean, S.H.	Direktorat Investigasi	pusat	direktorat	0	13	1
19	Jasrivai Manulang, S.H.	Direktorat Organisasi dan Kaderisasi	pusat	direktorat	0	21	1
21	Ronald Eldiner, S.H.	Direktorat Lingkungan Hidup	pusat	direktorat	0	26	1
22	Roy Jensen Sidabutar, S.Kom.	Direktorat Media	pusat	direktorat	0	27	1
23	Yefrizal, S.E.	Direktorat Humas dan Kerja Sama Antar Lembaga	pusat	direktorat	0	28	1
24	Dedek	Direktorat Pemberdayaan Masyarakat dan UMKM	pusat	direktorat	0	29	1
